"V1" "V2" "V3" "V4" "V5"
"71" "Rfpl4" "Rfpl4" 192658 "RFPL3" 10738
"72" "Hmx1" "Hmx1" 15371 "HMX1" 3166
"73" "Anxa8" "Anxa8" 11752 "ANXA8L1" 653145
"74" "Anxa8" "Anxa8" 11752 "ANXA8L1" 728113
"75" "Fabp5" "Fabp5" 16592 "FABP5" 2171
"76" "Fabp5" "Fabp5" 16592 "FABP5" 101060453
"77" "Gss" "Gss" 14854 "GSS" 2937
"78" "Alpk2" "Alpk2" 225638 "ALPK2" 115701
"79" "Gnpnat1" "Gnpnat1" 54342 "GNPNAT1" 64841
"80" "Runx1" "Runx1" 12394 "RUNX1" 861
"81" "Runx1" "Runx1" 12394 "RUNX1" 100506403
"82" "Gnb1l" "Gnb1l" 13972 "GNB1L" 54584
"83" "Rac2" "Rac2" 19354 "RAC2" 5880
"84" "Bnc2" "Bnc2" 242509 "BNC2" 54796
"85" "Fabp9" "Fabp9" 21884 "FABP9" 646480
"86" "Hsph1" "Hsph1" 15505 "HSPH1" 10808
"87" "Ppyr1" "Ppyr1" 19065 "NPY4R" 5540
"88" "Ppyr1" "Ppyr1" 19065 "NPY4R" 100996758
"89" "Fam189a2" "Fam189a2" 381217 "FAM189A2" 9413
"90" "Fam214b" "Fam214b" 230088 "FAM214B" 80256
"91" "Pfkl" "Pfkl" 18641 "PFKL" 5211
"92" "Pag1" "Pag1" 94212 "PAG1" 55824
"93" "Tarsl2" "Tarsl2" 272396 "TARSL2" 123283
"94" "Xrn2" "Xrn2" 24128 "XRN2" 22803
"95" "Mmrn1" "Mmrn1" 70945 "MMRN1" 22915
"96" "Tet2" "Tet2" 214133 "TET2" 54790
"97" "Ercc6l2" "Ercc6l2" 76251 "ERCC6L2" 375748
"98" "Fermt2" "Fermt2" 218952 "FERMT2" 10979
"99" "Dgat1" "Dgat1" 13350 "DGAT1" 8694
"100" "Trpc4ap" "Trpc4ap" 56407 "TRPC4AP" 26133
"101" "Phyhipl" "Phyhipl" 70911 "PHYHIPL" 84457
"102" "Neurog3" "Neurog3" 11925 "NEUROG3" 50674
"103" "Sqle" "Sqle" 20775 "SQLE" 6713
"104" "Scand1" "Scand1" 19018 "SCAND1" 51282
"105" "Cdk1" "Cdk1" 12534 "CDK1" 983
"106" "1700037C18Rik" "1700037C18Rik" 73261 "C16orf90" 646174
"107" "4930402H24Rik" "4930402H24Rik" 228602 "C20orf194" 25943
"108" "Pgk1" "Pgk1" 18655 "PGK1" 5230
"109" "Atp6v0c" "Atp6v0c" 11984 "ATP6V0C" 527
"110" "Foxs1" "Foxs1" 14239 "FOXS1" 2307
"111" "Fam227a" "Fam227a" 75729 "FAM227A" 646851
"112" "Dusp15" "Dusp15" 252864 "DUSP15" 128853
"113" "Rnf20" "Rnf20" 109331 "RNF20" 56254
"114" "Rpl34" "Rpl34" 68436 "RPL34" 6164
"115" "Rpl34" "Rpl34-ps1" 68436 "RPL34" 6164
"116" "Rpl34" "Gm6404" 68436 "RPL34" 6164
"117" "Rpl34" "Gm4705" 68436 "RPL34" 6164
"118" "Xpo4" "Xpo4" 57258 "XPO4" 64328
"119" "Odf3l2" "Odf3l2" 382384 "ODF3L2" 284451
"120" "Fam219b" "Fam219b" 78323 "FAM219B" 57184
"121" "Rad1" "Rad1" 19355 "RAD1" 5810
"122" "Elfn2" "Elfn2" 207393 "ELFN2" 114794
"123" "Mfng" "Mfng" 17305 "MFNG" 4242
"124" "Mcu" "Mcu" 215999 "MCU" 90550
"125" "Cntln" "Cntln" 338349 "CNTLN" 54875
"126" "Exoc2" "Exoc2" 66482 "EXOC2" 55770
"127" "Rxfp3" "Rxfp3" 239336 "RXFP3" 51289
"128" "Coro2b" "Coro2b" 235431 "CORO2B" 10391
"129" "Celf4" "Celf4" 108013 "CELF4" 56853
"130" "Cby1" "Cby1" 73739 "CBY1" 25776
"131" "Pkd1" "Pkd1" 18763 "PKD1" 5310
"132" "Pkd1" "Pkd1" 18763 "PKD1" 101060429
"133" "Dmc1" "Dmc1" 13404 "DMC1" 11144
"134" "2010107G23Rik" "2010107G23Rik" 69894 "C10orf35" 219738
"135" "Impa1" "Impa1" 55980 "IMPA1" 3612
"136" "Susd2" "Susd2" 71733 "SUSD2" 56241
"137" "Kcnrg" "Kcnrg" 328424 "KCNRG" 283518
"138" "Golga5" "Golga5" 27277 "GOLGA5" 9950
"139" "Trim13" "Trim13" 66597 "TRIM13" 10206
"140" "Tstd2" "Tstd2" 272027 "TSTD2" 158427
"141" "Smchd1" "Smchd1" 74355 "SMCHD1" 23347
"142" "D10Wsu52e" "D10Wsu52e" 28088 "RTCB" 51493
"143" "Exosc9" "Exosc9" 50911 "EXOSC9" 5393
"144" "Mmgt2" "Mmgt2" 216829 "MMGT1" 93380
"145" "Il17d" "Il17d" 239114 "IL17D" 53342
"146" "Pgk1-rs7" "Pgk1" 18655 "PGK1" 5230
"147" "C86695" "C86695" 97476 "FAM90A26" NaN
"148" "Tert" "Tert" 21752 "TERT" 7015
"149" "Fabp12" "Fabp12" 75497 "FABP12" 646486
"150" "Hunk" "Hunk" 26559 "HUNK" 30811
"151" "Cluap1" "Cluap1" 76779 "CLUAP1" 23059
"152" "Apba1" "Apba1" 319924 "APBA1" 320
"153" "Aimp1" "Aimp1" 13722 "AIMP1" 9255
"154" "Gpkow" "Gpkow" 209416 "GPKOW" 27238
"155" "Madcam1" "Madcam1" 17123 "MADCAM1" 8174
"156" "Mmgt1" "Mmgt1" 236792 "MMGT1" 93380
"157" "Slc45a2" "Slc45a2" 22293 "SLC45A2" 51151
"158" "Spryd7" "Spryd7" 66674 "SPRYD7" 57213
"159" "Mcm10" "Mcm10" 70024 "MCM10" 55388
"160" "Cfi" "Cfi" 12630 "CFI" 3426
"161" "Ppp1r3g" "Ppp1r3g" 76487 "PPP1R3G" 648791
"162" "Stx17" "Stx17" 67727 "STX17" 55014
"163" "N6amt2" "N6amt2" 68043 "N6AMT2" 221143
"164" "Phf20" "Phf20" 228829 "PHF20" 51230
"165" "Tmem246" "Tmem246" 67063 "TMEM246" 84302
"166" "Coro7" "Coro7" 78885 "CORO7-PAM16" 100529144
"167" "Rpa3" "Rpa3" 68240 "RPA3" 6119
"168" "Srpk3" "Srpk3" 56504 "SRPK3" 26576
"169" "Psmd13" "Psmd13" 23997 "PSMD13" 5719
"170" "Fbxo7" "Fbxo7" 69754 "FBXO7" 25793
"171" "Sec11c" "Sec11c" 66286 "SEC11C" 90701
"172" "Mageb3" "Mageb3" 17147 "MAGEB6" 158809
"173" "Ptx4" "Ptx4" 68509 "PTX4" 390667
"174" "Atrn" "Atrn" 11990 "ATRN" 8455
"175" "E430025E21Rik" "E430025E21Rik" 223593 "KIAA0196" 9897
"176" "Dpf2" "Dpf2" 19708 "DPF2" 5977
"177" "Fry" "Fry" 320365 "FRY" 10129
"178" "Tet1" "Tet1" 52463 "TET1" 80312
"179" "Dhx33" "Dhx33" 216877 "DHX33" 56919
"180" "Fgd5" "Fgd5" 232237 "FGD5" 152273
"181" "Guca1b" "Guca1b" 107477 "GUCA1B" 2979
"182" "Cdc34" "Cdc34" 216150 "CDC34" 997
"183" "Col13a1" "Col13a1" 12817 "COL13A1" 1305
"184" "Ywhaz" "Ywhaz" 22631 "YWHAZ" 7534
"185" "Slc10a5" "Slc10a5" 241877 "SLC10A5" 347051
"186" "Fam175b" "Fam175b" 109359 "FAM175B" 23172
"187" "Kctd15" "Kctd15" 233107 "KCTD15" 79047
"188" "Cntn3" "Cntn3" 18488 "CNTN3" 5067
"189" "Tollip" "Tollip" 54473 "TOLLIP" 54472
"190" "Tapbpl" "Tapbpl" 213233 "TAPBPL" 55080
"191" "Lzts2" "Lzts2" 226154 "LZTS2" 84445
"192" "Dsp" "Dsp" 109620 "DSP" 1832
"193" "Mypn" "Mypn" 68802 "MYPN" 84665
"194" "Trpv1" "Trpv1" 193034 "" 7442
"195" "Trpv1" "Trpv1" 193034 "" 23729
"196" "Aprt" "Aprt" 11821 "APRT" 353
"197" "Meox2" "Meox2" 17286 "MEOX2" 4223
"198" "Dkk1" "Dkk1" 13380 "DKK1" 22943
"199" "Gabbr2" "Gabbr2" 242425 "GABBR2" 9568
"200" "Ggt5" "Ggt5" 23887 "GGT5" 2687
"201" "Mageb5" "Mageb5" 74271 "MAGEB5" 347541
"202" "Tas2r119" "Tas2r119" 57254 "TAS2R1" 50834
"203" "Gar1" "Gar1" 68147 "GAR1" 54433
"204" "Telo2" "Telo2" 71718 "TELO2" 9894
"205" "Abca3" "Abca3" 27410 "ABCA3" 21
"206" "Trpm2" "Trpm2" 28240 "TRPM2" 7226
"207" "Zranb1" "Zranb1" 360216 "ZRANB1" 54764
"208" "Rabep2" "Rabep2" 70314 "RABEP2" 79874
"209" "Antxrl" "Antxrl" 239029 "ANTXRL" 195977
"210" "Chst1" "Chst1" 76969 "CHST1" 8534
"211" "Mctp1" "Mctp1" 78771 "MCTP1" 79772
"212" "Asf1b" "Asf1b" 66929 "ASF1B" 55723
"213" "Palm" "Palm" 18483 "PALM" 5064
"214" "Lrrc28" "Lrrc28" 67867 "LRRC28" 123355
"215" "Dkk2" "Dkk2" 56811 "DKK2" 27123
"216" "Zfp532" "Zfp532" 328977 "ZNF532" 55205
"217" "Tomm22" "Tomm22" 223696 "TOMM22" 56993
"218" "Ncoa7" "Ncoa7" 211329 "NCOA7" 135112
"219" "Slc25a48" "Slc25a48" 328258 "SLC25A48" 153328
"220" "Oxgr1" "Oxgr1" 239283 "OXGR1" 27199
"221" "Cd226" "Cd226" 225825 "CD226" 10666
"222" "Fgb" "Fgb" 110135 "FGB" 2244
"223" "Mbl2" "Mbl2" 17195 "MBL2" 4153
"224" "Fbxo4" "Fbxo4" 106052 "FBXO4" 26272
"225" "Zfand1" "Zfand1" 66361 "ZFAND1" 79752
"226" "Ctnna3" "Ctnna3" 216033 "CTNNA3" 29119
"227" "2510003E04Rik" "2510003E04Rik" 72320 "KIAA1279" 26128
"228" "Amacr" "Amacr" 17117 "AMACR" 23600
"229" "Amdhd2" "Amdhd2" 245847 "AMDHD2" 51005
"230" "Amdhd2" "Amdhd2" 245847 "AMDHD2" 752014
"231" "Myo6" "Myo6" 17920 "MYO6" 4646
"232" "Arpc4" "Arpc4" 68089 "ARPC4" 10093
"233" "Trerf1" "Trerf1" 224829 "TRERF1" 55809
"234" "Zc3hc1" "Zc3hc1" 232679 "ZC3HC1" 51530
"235" "Tmco6" "Tmco6" 71983 "TMCO6" 55374
"236" "Prss57" "Prss57" 73106 "PRSS57" 400668
"237" "Ptar1" "Ptar1" 72351 "PTAR1" 375743
"238" "Pja2" "Pja2" 224938 "PJA2" 9867
"239" "Pla2g3" "Pla2g3" 237625 "PLA2G3" 50487
"240" "Aldh1a2" "Aldh1a2" 19378 "ALDH1A2" 8854
"241" "Gys2" "Gys2" 232493 "GYS2" 2998
"242" "Fam25c" "Fam25c" 69134 "FAM25B" 643161
"243" "Fam25c" "Fam25c" 69134 "FAM25B" 644054
"244" "Fam25c" "Fam25c" 69134 "FAM25B" 100132929
"245" "Fam25c" "Fam25c" 69134 "FAM25B" 100133093
"246" "Ispd" "Ispd" 75847 "ISPD" 729920
"247" "Tas2r126" "Tas2r126" 387353 "TAS2R41" 259287
"248" "Cyp39a1" "Cyp39a1" 56050 "CYP39A1" 51302
"249" "Lgals2" "Lgals2" 107753 "LGALS2" 3957
"250" "Il13ra1" "Il13ra1" 16164 "IL13RA1" 3597
"251" "Sun2" "Sun2" 223697 "SUN2" 25777
"252" "Clasrp" "Clasrp" 53609 "CLASRP" 11129
"253" "Ifngr1" "Ifngr1" 15979 "IFNGR1" 3459
"254" "BC022687" "BC022687" 217887 "C14orf79" 122616
"255" "Specc1l" "Specc1l" 74392 "SPECC1L" 23384
"256" "A730017C20Rik" "A730017C20Rik" 225583 "KIAA1024L" 100127206
"257" "Fstl3" "Fstl3" 83554 "FSTL3" 10272
"258" "Myo1f" "Myo1f" 17916 "MYO1F" 4542
"259" "Igsf11" "Igsf11" 207683 "IGSF11" 152404
"260" "Msl2" "Msl2" 77853 "MSL2" 55167
"261" "Rpl26" "Rpl26" 19941 "RPL26" 6154
"262" "1700028P14Rik" "1700028P14Rik" 67483 "C9orf135" 138255
"263" "Glcci1" "Glcci1" 170772 "GLCCI1" 113263
"264" "Pcsk4" "Pcsk4" 18551 "PCSK4" 54760
"265" "Inpp5j" "Inpp5j" 170835 "INPP5J" 27124
"266" "Man2a1" "Man2a1" 17158 "MAN2A1" 4124
"267" "Mmp25" "Mmp25" 240047 "MMP25" 64386
"268" "Tango6" "Tango6" 272538 "TANGO6" 79613
"269" "Rec8" "Rec8" 56739 "REC8" 9985
"270" "Fsd2" "Fsd2" 244091 "FSD2" 123722
"271" "Asphd1" "Asphd1" 233879 "ASPHD1" 253982
"272" "Ccdc32" "Ccdc32" 269336 "C15orf57" 90416
"273" "Wdr1" "Wdr1" 22388 "WDR1" 9948
"274" "Rttn" "Rttn" 246102 "RTTN" 25914
"275" "Reep3" "Reep3" 28193 "REEP3" 221035
"276" "Gsap" "Gsap" 212167 "GSAP" 54103
"277" "Fam13c" "Fam13c" 71721 "FAM13C" 220965
"278" "Ager" "Ager" 11596 "AGER" 177
"279" "BC017158" "BC017158" 233913 "C16orf58" 64755
"280" "Ubxn1" "Ubxn1" 225896 "UBXN1" 51035
"281" "Slc25a16" "Slc25a16" 73132 "SLC25A16" 8034
"282" "Dleu7" "Dleu7" 239133 "DLEU7" 220107
"283" "Cstf2t" "Cstf2t" 83410 "CSTF2T" 23283
"284" "Bpifc" "Bpifc" 270757 "BPIFC" 254240
"285" "Plekha7" "Plekha7" 233765 "PLEKHA7" 144100
"286" "Snd1" "Snd1" 56463 "SND1" 27044
"287" "Col8a1" "Col8a1" 12837 "COL8A1" 1295
"288" "Cdc42ep1" "Cdc42ep1" 104445 "CDC42EP1" 11135
"289" "Kif18a" "Kif18a" 228421 "KIF18A" 81930
"290" "Npnt" "Npnt" 114249 "NPNT" 255743
"291" "Tas2r135" "Tas2r135" 387512 "TAS2R60" 338398
"292" "Twist1" "Twist1" 22160 "TWIST1" 7291
"293" "Cox5a" "Cox5a" 12858 "COX5A" 9377
"294" "Cxcl14" "Cxcl14" 57266 "CXCL14" 9547
"295" "Sh3gl2" "Sh3gl2" 20404 "SH3GL2" 6456
"296" "Slc25a22" "Slc25a22" 68267 "SLC25A22" 79751
"297" "Hs6st3" "Hs6st3" 50787 "HS6ST3" 266722
"298" "Ugt2a3" "Ugt2a3" 72094 "UGT2A3" 79799
"299" "Slc2a9" "Slc2a9" 117591 "SLC2A9" 56606
"300" "Ttll9" "Ttll9" 74711 "TTLL9" 164395
"301" "Sec24d" "Sec24d" 69608 "SEC24D" 9871
"302" "Hsf4" "Hsf4" 26386 "HSF4" 3299
"303" "Comt" "Comt" 12846 "COMT" 1312
"304" "Noxred1" "Noxred1" 71275 "NOXRED1" 122945
"305" "Dera" "Dera" 232449 "DERA" 51071
"306" "Tfap2d" "Tfap2d" 226896 "TFAP2D" 83741
"307" "Setd4" "Setd4" 224440 "SETD4" 54093
"308" "Ankrd1" "Ankrd1" 107765 "ANKRD1" 27063
"309" "Ppp1r14b" "Ppp1r14b" 18938 "PPP1R14B" 26472
"310" "Cnbd2" "Cnbd2" 70873 "CNBD2" 140894
"311" "Slc2a13" "Slc2a13" 239606 "SLC2A13" 114134
"312" "Slc1a2" "Slc1a2" 20511 "SLC1A2" 6506
"313" "1810043G02Rik" "1810043G02Rik" 67884 "C21orf2" 755
"314" "Gorasp1" "Gorasp1" 74498 "GORASP1" 64689
"315" "Nanog" "Nanog" 71950 "NANOG" 79923
"316" "Bmp4" "Bmp4" 12159 "BMP4" 652
"317" "Rnaseh2b" "Rnaseh2b" 67153 "RNASEH2B" 79621
"318" "Zfp7" "Zfp7" 223669 "ZNF7" 7553
"319" "Ctsl" "Ctsl" 13039 "CTSV" 1515
"320" "B3galtl" "B3galtl" 381694 "B3GALTL" 145173
"321" "Lyrm4" "Lyrm4" 380840 "LYRM4" 57128
"322" "Fam173b" "Fam173b" 68073 "FAM173B" 134145
"323" "Mmp13" "Mmp13" 17386 "MMP13" 4322
"324" "Lrrd1" "Lrrd1" 242838 "LRRD1" 401387
"325" "Vwa7" "Vwa7" 27762 "VWA7" 80737
"326" "Ptpdc1" "Ptpdc1" 218232 "PTPDC1" 138639
"327" "Dcbld1" "Dcbld1" 66686 "DCBLD1" 285761
"328" "R3hcc1" "R3hcc1" 71843 "R3HCC1" 203069
"329" "Actl7a" "Actl7a" 11470 "ACTL7A" 10881
"330" "Dcaf5" "Dcaf5" 320808 "DCAF5" 8816
"331" "Vps33b" "Vps33b" 233405 "VPS33B" 26276
"332" "Actl7b" "Actl7b" 11471 "ACTL7B" 10880
"333" "Chsy3" "Chsy3" 78923 "CHSY3" 337876
"334" "Scyl2" "Scyl2" 213326 "SCYL2" 55681
"335" "AW549877" "AW549877" 106064 "C5orf51" 285636
"336" "Rassf8" "Rassf8" 71323 "RASSF8" 11228
"337" "Rassf8" "Rassf8" 71323 "RASSF8" 100996477
"338" "Gtpbp1" "Gtpbp1" 14904 "GTPBP1" 9567
"339" "Emilin2" "Emilin2" 246707 "EMILIN2" 84034
"340" "Itpk1" "Itpk1" 217837 "ITPK1" 3705
"341" "Clec11a" "Clec11a" 20256 "CLEC11A" 6320
"342" "Ostc" "Ostc" 66357 "OSTC" 58505
"343" "Ostc" "Ostc" 66357 "OSTC" 646567
"344" "Nqo2" "Nqo2" 18105 "NQO2" 4835
"345" "Phox2b" "Phox2b" 18935 "PHOX2B" 8929
"346" "1700030K09Rik" "1700030K09Rik" 72254 "C19orf44" 84167
"347" "Brix1" "Brix1" 67832 "BRIX1" 55299
"348" "Chga" "Chga" 12652 "CHGA" 1113
"349" "Dennd1a" "Dennd1a" 227801 "DENND1A" 57706
"350" "Gm44" "Gm44" 212952 "MAGEB5" 347541
"351" "Samd15" "Samd15" 238333 "SAMD15" 161394
"352" "Tmed8" "Tmed8" 382620 "TMED8" 283578
"353" "Pnpla1" "Pnpla1" 433091 "PNPLA1" 285848
"354" "Rcan2" "Rcan2" 53901 "RCAN2" 10231
"355" "Art1" "Art1" 11870 "ART1" 417
"356" "Adh1" "Adh1" 11522 "ADH1A" 124
"357" "Adh1" "Adh1" 11522 "ADH1B" 125
"358" "Tmem40" "Tmem40" 94346 "TMEM40" 55287
"359" "Erp44" "Erp44" 76299 "ERP44" 23071
"360" "Mak" "Mak" 17152 "MAK" 4117
"361" "Marveld2" "Marveld2" 218518 "MARVELD2" 153562
"362" "Anxa3" "Anxa3" 11745 "ANXA3" 306
"363" "Ecscr" "Ecscr" 68545 "ECSCR" 641700
"364" "Rhobtb1" "Rhobtb1" 69288 "RHOBTB1" 9886
"365" "Acot12" "Acot12" 74156 "ACOT12" 134526
"366" "Slc1a3" "Slc1a3" 20512 "SLC1A3" 6507
"367" "Kremen2" "Kremen2" 73016 "KREMEN2" 79412
"368" "Ddhd1" "Ddhd1" 114874 "DDHD1" 80821
"369" "Cstf3" "Cstf3" 228410 "CSTF3" 1479
"370" "C8g" "C8g" 69379 "C8G" 733
"371" "Lpin2" "Lpin2" 64898 "LPIN2" 9663
"372" "Ppa2" "Ppa2" 74776 "PPA2" 27068
"373" "Unc13b" "Unc13b" 22249 "UNC13B" 10497
"374" "Crebl2" "Crebl2" 232430 "CREBL2" 1389
"375" "Gga1" "Gga1" 106039 "GGA1" 26088
"376" "Cend1" "Cend1" 57754 "CEND1" 51286
"377" "Tmem173" "Tmem173" 72512 "TMEM173" 340061
"378" "Mrps10" "Mrps10" 64657 "MRPS10" 55173
"379" "Bcl7b" "Bcl7b" 12054 "BCL7B" 9275
"380" "Pet2" "Pet2" 18630 "DCAF8L2" 347442
"381" "Tpgs1" "Tpgs1" 110012 "TPGS1" 91978
"382" "Zzef1" "Zzef1" 195018 "ZZEF1" 23140
"383" "Mbnl2" "Mbnl2" 105559 "MBNL2" 10150
"384" "Coro1a" "Coro1a" 12721 "CORO1A" 11151
"385" "Hint1" "Hint1" 15254 "HINT1" 3094
"386" "Nrbp2" "Nrbp2" 223649 "NRBP2" 340371
"387" "Rxfp2" "Rxfp2" 140498 "RXFP2" 122042
"388" "Josd1" "Josd1" 74158 "JOSD1" 9929
"389" "Josd1" "Gm10651" 74158 "JOSD1" 9929
"390" "Rragd" "Rragd" 52187 "RRAGD" 58528
"391" "Spesp1" "Spesp1" 66712 "SPESP1" 246777
"392" "Cdc42ep2" "Cdc42ep2" 104252 "CDC42EP2" 10435
"393" "Oit3" "Oit3" 18302 "OIT3" 170392
"394" "Slc9a6" "Slc9a6" 236794 "SLC9A6" 10479
"395" "Sema3e" "Sema3e" 20349 "SEMA3E" 9723
"396" "Agxt2l1" "Agxt2l1" 71760 "ETNPPL" 64850
"397" "Gnas" "Gnas" 14683 "GNAS" 2778
"398" "Steap4" "Steap4" 117167 "STEAP4" 79689
"399" "Lphn1" "Lphn1" 330814 "LPHN1" 22859
"400" "Cct5" "Cct5" 12465 "CCT5" 22948
"401" "Rnf185" "Rnf185" 193670 "RNF185" 91445
"402" "Edem2" "Edem2" 108687 "EDEM2" 55741
"403" "Plscr3" "Plscr3" 70310 "PLSCR3" 57048
"404" "Atp5d" "Atp5d" 66043 "ATP5D" 513
"405" "Eif6" "Eif6" 16418 "EIF6" 3692
"406" "Tagln2" "Tagln2" 21346 "TAGLN2" 8407
"407" "Dnaaf1" "Dnaaf1" 68270 "DNAAF1" 123872
"408" "Slc4a1ap" "Slc4a1ap" 20534 "SLC4A1AP" 22950
"409" "Scrt1" "Scrt1" 170729 "SCRT1" 83482
"410" "Cd93" "Cd93" 17064 "CD93" 22918
"411" "Sphk2" "Sphk2" 56632 "SPHK2" 56848
"412" "Rax" "Rax" 19434 "RAX" 30062
"413" "Ceacam15" "Ceacam15" 101434 "PSG9" 5678
"414" "Dhfr" "Dhfr" 13361 "DHFRL1" 200895
"415" "Nlk" "Nlk" 18099 "NLK" 51701
"416" "Rph3a" "Rph3a" 19894 "RPH3A" 22895
"417" "Trpv1" "Trpv1" 193034 "TRPV1" 7442
"418" "Hsdl1" "Hsdl1" 72552 "HSDL1" 83693
"419" "Il1rapl1" "Il1rapl1" 331461 "IL1RAPL1" 11141
"420" "Zfp804b" "Zfp804b" 207618 "ZNF804B" 219578
"421" "Clptm1l" "Clptm1l" 218335 "CLPTM1L" 81037
"422" "Tgfbrap1" "Tgfbrap1" 73122 "TGFBRAP1" 9392
"423" "Sgce" "Sgce" 20392 "SGCE" 8910
"424" "Pccb" "Pccb" 66904 "PCCB" 5096
"425" "Rpusd2" "Rpusd2" 271842 "RPUSD2" 27079
"426" "Arvcf" "Arvcf" 11877 "ARVCF" 421
"427" "Lyrm9" "Lyrm9" 66274 "LYRM9" 201229
"428" "Tgif2" "Tgif2" 228839 "TGIF2" 60436
"429" "Fbxo42" "Fbxo42" 213499 "FBXO42" 54455
"430" "Sf3a2" "Sf3a2" 20222 "SF3A2" 8175
"431" "Lect2" "Lect2" 16841 "LECT2" 3950
"432" "Rrh" "Rrh" 20132 "RRH" 10692
"433" "Slc35c1" "Slc35c1" 228368 "SLC35C1" 55343
"434" "Casc5" "Casc5" 76464 "CASC5" 57082
