Table S3a. Phylostraticraphic distribution of human genes (ENSEMBLE),,,
Protein_ID,Gene_ID,Phylostratum,Phylogenetic_Internode
ENSP00000216075,ENSG00000100253,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216080,ENSG00000100258,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000252785,ENSG00000130489,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000252029,ENSG00000025708,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000252783,ENSG00000130487,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353945,ENSG00000100288,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000312189,ENSG00000205560,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348406,ENSG00000100299,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000374491,ENSG00000099882,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216139,ENSG00000100312,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346940,ENSG00000079974,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000342810,ENSG00000184319,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372533,ENSG00000129824,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000215473,ENSG00000099715,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000309842,ENSG00000173394,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372499,ENSG00000092377,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372489,ENSG00000099725,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000314624,ENSG00000197038,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372433,ENSG00000206163,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000331938,ENSG00000183704,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000303798,ENSG00000168462,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353284,ENSG00000067048,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351914,ENSG00000183878,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372320,ENSG00000165246,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372319,ENSG00000129873,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000250838,ENSG00000182415,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372227,ENSG00000198692,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372214,ENSG00000157828,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372207,ENSG00000169811,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372176,ENSG00000174622,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372127,ENSG00000206046,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372084,ENSG00000169800,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000306707,ENSG00000131003,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372049,ENSG00000206011,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000302745,ENSG00000188120,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371877,ENSG00000205944,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000303178,ENSG00000172352,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371802,ENSG00000187191,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371743,ENSG00000205916,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000302968,ENSG00000172288,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000344396,ENSG00000188399,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353470,ENSG00000196476,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000217233,ENSG00000101255,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371400,ENSG00000101266,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371347,ENSG00000101280,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371161,ENSG00000088832,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371018,ENSG00000101307,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000305529,ENSG00000089012,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348307,ENSG00000198053,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370891,ENSG00000125834,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370589,ENSG00000101361,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370247,ENSG00000101365,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000369979,ENSG00000088882,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000369456,ENSG00000125877,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000369399,ENSG00000088836,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000262919,ENSG00000088812,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348912,ENSG00000149451,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000341141,ENSG00000088827,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000254963,ENSG00000132622,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368882,ENSG00000088888,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000313377,ENSG00000125779,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000307252,ENSG00000088826,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368637,ENSG00000089057,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368458,ENSG00000132646,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368361,ENSG00000101290,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000315343,ENSG00000178769,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368305,ENSG00000125772,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368164,ENSG00000125885,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368140,ENSG00000088766,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368135,ENSG00000125872,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368066,ENSG00000101323,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000334105,ENSG00000101333,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367686,ENSG00000101349,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367644,ENSG00000132623,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000254976,ENSG00000132639,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000246062,ENSG00000125863,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000254958,ENSG00000101384,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367436,ENSG00000172296,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000338624,ENSG00000089123,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367346,ENSG00000101247,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000284951,ENSG00000101251,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000217246,ENSG00000172264,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367292,ENSG00000125848,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000251847,ENSG00000089177,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000262545,ENSG00000125851,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367104,ENSG00000125864,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000246043,ENSG00000125844,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366998,ENSG00000089006,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366939,ENSG00000125871,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278816,ENSG00000149474,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346090,ENSG00000125846,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000349774,ENSG00000089091,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000336866,ENSG00000089050,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366672,ENSG00000125821,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000254968,ENSG00000132631,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000333519,ENSG00000185052,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000335636,ENSG00000173418,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366544,ENSG00000101343,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366307,ENSG00000178726,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000246006,ENSG00000125810,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000340189,ENSG00000149435,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351604,ENSG00000101474,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000316924,ENSG00000154930,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000365840,ENSG00000197586,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216962,ENSG00000100994,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000365732,ENSG00000100997,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278886,ENSG00000101004,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000302441,ENSG00000170191,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000252979,ENSG00000130684,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348296,ENSG00000198361,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000201979,ENSG00000088320,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000302564,ENSG00000171552,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000365162,ENSG00000101306,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278979,ENSG00000149599,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000365105,ENSG00000131044,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000262651,ENSG00000101336,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353294,ENSG00000198179,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000328547,ENSG00000088305,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000350558,ENSG00000101391,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000246194,ENSG00000125970,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000364119,ENSG00000125977,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000217426,ENSG00000101444,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351894,ENSG00000198646,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000338964,ENSG00000131067,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363825,ENSG00000131069,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216951,ENSG00000100983,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000262873,ENSG00000078814,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363616,ENSG00000088298,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000246186,ENSG00000125966,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363574,ENSG00000126005,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363506,ENSG00000101019,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348401,ENSG00000126001,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363205,ENSG00000078872,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000253363,ENSG00000131051,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363124,ENSG00000025293,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363084,ENSG00000149646,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000279022,ENSG00000101335,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000262878,ENSG00000101347,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362659,ENSG00000197122,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000299824,ENSG00000101445,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353232,ENSG00000101447,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000252011,ENSG00000101452,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000354522,ENSG00000198900,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000332806,ENSG00000183798,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362330,ENSG00000124177,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362294,ENSG00000196090,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000244020,ENSG00000124193,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000340608,ENSG00000101049,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362130,ENSG00000101052,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362071,ENSG00000149596,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000341782,ENSG00000124194,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000217043,ENSG00000101074,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361965,ENSG00000196839,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361952,ENSG00000124249,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000255136,ENSG00000101104,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361900,ENSG00000025772,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361892,ENSG00000101109,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000307694,ENSG00000124134,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361867,ENSG00000124233,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361855,ENSG00000124157,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000255132,ENSG00000124159,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361758,ENSG00000101446,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361746,ENSG00000101448,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361735,ENSG00000158901,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000279058,ENSG00000149651,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000243938,ENSG00000124116,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361636,ENSG00000101470,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000217455,ENSG00000101473,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361562,ENSG00000064601,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361405,ENSG00000100985,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000243964,ENSG00000124140,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361359,ENSG00000101017,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361336,ENSG00000149654,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000329301,ENSG00000198185,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000279027,ENSG00000158296,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361186,ENSG00000172315,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352216,ENSG00000197496,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353007,ENSG00000196562,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361009,ENSG00000124126,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360985,ENSG00000124198,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360922,ENSG00000124214,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360828,ENSG00000124228,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360817,ENSG00000124201,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360806,ENSG00000158445,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000244043,ENSG00000124212,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360776,ENSG00000158470,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351216,ENSG00000197818,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000344166,ENSG00000124208,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360640,ENSG00000000419,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360630,ENSG00000124217,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360626,ENSG00000026559,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000342481,ENSG00000054793,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216862,ENSG00000019186,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352315,ENSG00000185834,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216911,ENSG00000087586,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360397,ENSG00000101138,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000243913,ENSG00000124091,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360304,ENSG00000054796,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360286,ENSG00000101146,1,Life before LCA of Cellular_organisms - Cellular organisms
